,rent,size_m2,property_type,bedrooms,suite,parking,neighborhood
91,2.200,71,Apartamento ,3,1,1, AGUAS CLARAS
92,4.800,78,Apartamento ,2,1,2, NOROESTE
93,15.000,211,Apartamento ,3,3,4, PARK SUL
94,2.000,70,Apartamento ,2,1,, AGUAS CLARAS
95,5.400,170,Apartamento ,3,1,1, ASA SUL
96,1.800,45,Apartamento ,2,,, GUARA
97,5.500,104,Apartamento ,3,1,2, SUDOESTE
98,2.650,68,Apartamento ,2,1,, ASA NORTE
99,6.800,146,Apartamento ,3,2,1, ASA SUL
100,1.000,48,Apartamento ,2,,, GUARA
101,9.200,148,Apartamento ,4,2,4, NOROESTE
102,9.900,232,Apartamento ,4,2,1, ASA SUL
103,5.400,178,Apartamento ,3,1,, ASA SUL
104,1.200,30,Apartamento ,1,,, ASA NORTE
105,1.400,41,Apartamento ,1,1,, AGUAS CLARAS
106,5.000,139,Apartamento ,3,3,2, AGUAS CLARAS
107,2.500,103,Apartamento ,3,1,1, AGUAS CLARAS
108,1.300,24,Kitnet ,1,,, ASA SUL
109,8.900,164,Apartamento ,4,4,3, NOROESTE
110,9.500,216,Apartamento ,3,1,2, SUDOESTE
111,27.500,461,Apartamento ,3,3,4, ASA NORTE
112,3.600,80,Apartamento ,3,,, ASA SUL
113,1.300,28,Apartamento ,1,1,1, AGUAS CLARAS
114,17.000,160,Apartamento ,3,3,3, NOROESTE
115,1.200,58,Apartamento ,2,1,, GUARA
116,2.850,31,Apartamento ,1,1,, ASA NORTE
117,4.500,100,Apartamento ,3,1,2, NOROESTE
118,700,33,Apartamento ,1,,, SAO SEBASTIAO
119,2.000,44,Apartamento ,1,1,, AGUAS CLARAS
120,5.800,157,Apartamento ,3,1,1, ASA SUL
121,2.950,66,Apartamento ,2,1,1, GUARA
122,3.950,73,Apartamento ,2,1,2, PARK SUL
123,2.300,77,Apartamento ,3,,, ASA NORTE
124,2.800,114,Apartamento ,3,1,, ASA SUL
125,1.650,61,Apartamento ,2,1,1, AGUAS CLARAS
126,4.500,95,Apartamento ,4,2,2, AGUAS CLARAS
127,2.850,90,Apartamento ,3,2,1, AGUAS CLARAS
128,7.800,155,Apartamento ,4,1,2, ASA NORTE
129,1.000,34,Apartamento ,1,1,1, TAGUATINGA
130,5.500,95,Apartamento ,3,1,1, SUDOESTE
131,7.000,100,Apartamento ,3,1,2, PARK SUL
132,4.600,75,Apartamento ,2,1,2, NOROESTE
133,2.800,60,Apartamento ,2,,, SUDOESTE
134,4.100,68,Apartamento ,2,1,1, SUDOESTE
135,5.500,154,Apartamento ,3,1,, AGUAS CLARAS
136,8.000,64,Apartamento ,1,1,1, ASA SUL
137,2.100,37,Kitnet ,1,1,1, NOROESTE
138,1.950,74,Apartamento ,3,1,1, SAMAMBAIA
139,2.700,40,Apartamento ,1,1,1, ASA SUL
140,6.300,158,Apartamento ,3,1,1, ASA SUL
141,4.000,123,Apartamento ,3,1,1, ASA NORTE
142,3.000,80,Apartamento ,3,1,2, GUARA
143,5.500,144,Apartamento ,4,1,1, ASA NORTE
144,2.300,58,Apartamento ,2,1,1, GUARA
145,3.800,220,Apartamento ,4,3,2, VICENTE PIRES
146,2.000,26,Apartamento ,1,,, ASA NORTE
147,2.200,52,Apartamento ,2,1,1, AGUAS CLARAS
148,3.600,120,Apartamento ,3,1,1, ASA SUL
149,3.900,92,Apartamento ,3,1,1, SUDOESTE
150,6.800,163,Apartamento ,3,1,, ASA SUL
151,1.200,45,Apartamento ,2,1,1, CEILANDIA
152,4.500,70,Apartamento ,2,1,1, NOROESTE
153,2.450,56,Apartamento ,2,,, SUDOESTE
154,2.065,41,Apartamento ,1,1,, ASA SUL
155,700,50,Apartamento ,1,,, SAO SEBASTIAO
156,2.830,43,Apartamento ,1,1,, AGUAS CLARAS
157,1.650,38,Apartamento ,1,1,1, AGUAS CLARAS
158,2.000,63,Apartamento ,1,1,1, LAGO NORTE
159,4.300,100,Apartamento ,3,1,2, GUARA
160,1.100,25,Kitnet ,1,1,, SUDOESTE
161,2.500,80,Apartamento ,2,1,1, AGUAS CLARAS
162,1.200,37,Apartamento ,1,1,1, AGUAS CLARAS
163,12.000,209,Apartamento ,4,1,3, ASA SUL
164,4.200,114,Apartamento ,4,1,2, AGUAS CLARAS
165,1.800,56,Apartamento ,2,1,1, AGUAS CLARAS
166,6.500,159,Apartamento ,4,1,1, ASA SUL
167,2.200,33,Apartamento ,1,1,1, NOROESTE
168,5.500,91,Apartamento ,3,1,1, SUDOESTE
169,1.000,30,Kitnet ,1,1,, ASA NORTE
170,1.850,35,Apartamento ,1,1,1, AGUAS CLARAS
171,3.500,90,Apartamento ,2,1,1, ASA SUL
172,5.500,150,Apartamento ,3,1,1, ASA SUL
173,3.200,75,Apartamento ,3,1,, OCTOGONAL
174,2.200,34,Apartamento ,1,1,, NOROESTE
175,5.600,125,Apartamento ,4,1,2, GUARA
176,6.000,150,Apartamento ,3,1,1, ASA SUL
177,1.700,48,Apartamento ,1,,, SUDOESTE
178,3.600,26,Kitnet ,1,1,1, SUDOESTE
179,2.500,77,Apartamento ,3,,, ASA SUL
180,710,45,Apartamento ,1,,, GAMA
181,599,31,Kitnet ,1,,, ASA NORTE
182,900,45,Apartamento ,2,1,, SAMAMBAIA
183,3.400,83,Apartamento ,3,1,1, AGUAS CLARAS
184,3.400,88,Apartamento ,3,1,1, AGUAS CLARAS
185,8.200,166,Apartamento ,4,2,3, NOROESTE
186,3.850,119,Apartamento ,3,1,1, ASA NORTE
187,1.100,37,Apartamento ,1,1,1, TAGUATINGA
188,5.250,90,Apartamento ,3,1,2, NOROESTE
189,1.500,35,Kitnet ,1,1,, LAGO NORTE
190,5.000,167,Apartamento ,2,1,1, ASA NORTE
191,3.700,26,Kitnet ,1,1,1, SUDOESTE
192,10.500,221,Apartamento ,4,2,1, ASA SUL
193,1.200,48,Apartamento ,2,,, SAO SEBASTIAO
194,4.500,70,Apartamento ,2,2,1, PARK SUL
195,15.000,211,Apartamento ,3,3,4, PARK SUL
196,8.200,145,Apartamento ,4,2,3, PARK SUL
197,6.000,91,Apartamento ,2,1,, GUARA
198,2.390,32,Apartamento ,1,1,1, NOROESTE
199,4.500,99,Apartamento ,3,1,1, ASA SUL
200,8.900,100,Apartamento ,3,1,2, ASA NORTE
201,3.500,87,Apartamento ,3,1,2, GUARA
202,900,29,Kitnet ,1,,, ASA NORTE
203,4.800,130,Apartamento ,3,1,, ASA SUL
204,4.500,110,Apartamento ,3,1,1, ASA NORTE
205,12.800,213,Apartamento ,3,3,4, NOROESTE
206,4.200,157,Apartamento ,4,2,2, AGUAS CLARAS
207,2.340,48,Apartamento ,1,1,1, TAGUATINGA
208,2.600,51,Apartamento ,1,1,, ASA SUL
209,1.100,70,Apartamento ,2,,, SAO SEBASTIAO
210,1.900,33,Apartamento ,2,,, AGUAS CLARAS
211,3.200,26,Kitnet ,1,1,1, SUDOESTE
212,2.250,58,Apartamento ,2,1,1, AGUAS CLARAS
213,4.200,127,Apartamento ,3,1,1, ASA NORTE
214,9.000,154,Apartamento ,4,2,2, SUDOESTE
215,2.400,80,Apartamento ,2,1,2, AGUAS CLARAS
216,1.500,62,Apartamento ,2,,, SOBRADINHO
217,13.200,291,Apartamento ,3,2,3, SUDOESTE
218,4.500,111,Apartamento ,3,1,1, ASA NORTE
219,4.600,75,Apartamento ,2,1,2, NOROESTE
220,6.400,143,Apartamento ,3,3,2, AGUAS CLARAS
221,1.950,57,Apartamento ,2,1,2, AGUAS CLARAS
222,4.200,73,Apartamento ,2,1,2, PARK SUL
223,890,26,Kitnet ,1,1,1, SUDOESTE
224,3.400,75,Apartamento ,2,1,, ASA NORTE
225,2.900,102,Apartamento ,3,1,, AGUAS CLARAS
226,7.000,200,Apartamento ,4,1,2, ASA SUL
227,900,40,Apartamento ,2,,, GUARA
228,1.250,64,Apartamento ,2,1,, TAGUATINGA
229,1.087,33,Kitnet ,1,,, SAMAMBAIA
230,2.500,63,Apartamento ,2,1,1, AGUAS CLARAS
231,1.050,31,Kitnet ,1,1,1, ASA NORTE
232,3.500,78,Apartamento ,1,,, ASA NORTE
233,3.200,64,Apartamento ,2,1,1, GUARA
234,1.100,37,Apartamento ,1,,, ASA NORTE
235,10.190,175,Apartamento ,3,1,1, ASA SUL
236,3.700,53,Apartamento ,1,1,, ASA NORTE
237,2.750,53,Apartamento ,2,1,, LAGO NORTE
238,15.000,211,Apartamento ,4,3,4, PARK SUL
239,2.800,40,Apartamento ,1,1,1, ASA SUL
240,6.600,214,Apartamento ,4,2,, ASA SUL
241,1.900,73,Apartamento ,3,1,1, AGUAS CLARAS
242,1.700,34,Apartamento ,1,1,, AGUAS CLARAS
243,3.300,52,Apartamento ,1,2,, ASA SUL
244,3.400,26,Kitnet ,1,1,1, SUDOESTE
245,2.350,64,Apartamento ,2,1,1, AGUAS CLARAS
246,1.900,61,Apartamento ,3,,, CRUZEIRO
247,2.100,34,Apartamento ,1,1,1, NOROESTE
248,6.000,166,Apartamento ,4,1,, ASA SUL
249,4.600,76,Apartamento ,2,1,2, NOROESTE
250,2.300,72,Apartamento ,3,1,1, GUARA
251,1.350,60,Apartamento ,3,1,, TAGUATINGA
252,3.600,141,Apartamento ,3,1,2, AGUAS CLARAS
253,3.700,160,Apartamento ,3,1,1, ASA NORTE
254,1.850,63,Apartamento ,3,,, CRUZEIRO
255,2.950,70,Apartamento ,2,,, ASA NORTE
256,7.200,172,Apartamento ,3,2,2, SUDOESTE
257,3.600,130,Apartamento ,3,1,, ASA SUL
258,2.000,61,Apartamento ,1,1,1, SUDOESTE
259,1.300,26,Kitnet ,1,1,, SUDOESTE
260,4.200,103,Apartamento ,2,1,1, ASA NORTE
261,3.800,94,Apartamento ,3,1,2, AGUAS CLARAS
262,750,47,Apartamento ,1,1,1, SAMAMBAIA
263,5.200,75,Apartamento ,2,1,, ASA NORTE
264,3.700,26,Kitnet ,1,1,1, SUDOESTE
265,4.500,152,Apartamento ,3,3,2, AGUAS CLARAS
266,4.850,180,Apartamento ,3,1,1, ASA NORTE
267,2.000,78,Apartamento ,3,1,, AGUAS CLARAS
268,4.500,76,Apartamento ,2,1,1, NOROESTE
269,2.490,68,Apartamento ,2,1,1, AGUAS CLARAS
270,1.400,51,Apartamento ,2,,, SOBRADINHO
271,1.420,34,Apartamento ,1,1,1, AGUAS CLARAS
272,6.800,200,Apartamento ,3,1,2, AGUAS CLARAS
273,1.900,40,Apartamento ,1,,, ASA SUL
274,4.200,86,Apartamento ,2,1,1, NOROESTE
275,1.100,31,Apartamento ,1,1,, AGUAS CLARAS
276,4.600,120,Apartamento ,3,1,1, ASA SUL
277,2.490,34,Apartamento ,1,1,, NOROESTE
278,1.100,37,Apartamento ,1,,, ASA NORTE
279,1.600,33,Apartamento ,1,1,1, AGUAS CLARAS
280,850,34,Kitnet ,1,1,, LAGO NORTE
281,700,50,Apartamento ,2,1,1, VICENTE PIRES
282,2.100,50,Apartamento ,1,1,1, AGUAS CLARAS
283,5.500,170,Apartamento ,4,1,1, ASA NORTE
284,1.750,58,Apartamento ,2,1,1, AGUAS CLARAS
285,1.200,25,Kitnet ,1,1,, SUDOESTE
286,2.600,60,Apartamento ,2,1,, ASA NORTE
287,3.000,77,Apartamento ,2,1,1, SUDOESTE
288,3.290,41,Apartamento ,1,1,, ASA SUL
289,9.600,170,Apartamento ,4,2,4, NOROESTE
290,3.300,82,Apartamento ,3,2,1, AGUAS CLARAS
291,900,52,Apartamento ,2,,, CEILANDIA
292,3.000,87,Apartamento ,3,1,2, AGUAS CLARAS
293,1.555,50,Apartamento ,2,1,, TAGUATINGA
294,3.900,110,Apartamento ,3,,, ASA SUL
295,1.500,54,Apartamento ,1,1,, AGUAS CLARAS
296,2.000,34,Kitnet ,1,1,, AGUAS CLARAS
297,2.800,57,Apartamento ,2,1,1, AGUAS CLARAS
298,1.000,48,Apartamento ,2,,, SOBRADINHO
299,920,35,Kitnet ,1,,, GUARA
300,1.200,30,Apartamento ,1,1,, AGUAS CLARAS
301,1.100,27,Kitnet ,1,1,, ASA NORTE
302,1.000,25,Kitnet ,1,1,, SUDOESTE
303,3.400,26,Kitnet ,1,1,1, SUDOESTE
304,4.300,113,Apartamento ,3,1,, ASA SUL
305,610,32,Apartamento ,1,,, GUARA
306,3.300,127,Apartamento ,3,1,2, AGUAS CLARAS
307,800,30,Apartamento ,1,1,, SOBRADINHO
308,900,28,Apartamento ,1,1,, ASA NORTE
309,1.400,59,Apartamento ,2,1,, VICENTE PIRES
310,9.800,97,Apartamento ,2,1,2, ASA NORTE
311,3.300,104,Apartamento ,3,1,2, AGUAS CLARAS
312,2.500,56,Apartamento ,2,1,1, GUARA
313,2.300,62,Apartamento ,2,,, SUDOESTE
314,2.600,75,Apartamento ,3,,, ASA SUL
315,1.900,57,Apartamento ,2,1,1, AGUAS CLARAS
316,2.600,50,Apartamento ,2,1,, LAGO NORTE
317,2.700,74,Apartamento ,2,1,1, SUDOESTE
318,1.800,75,Apartamento ,2,1,, ASA SUL
319,191.900,45,Apartamento ,2,1,, RECANTO DAS EMAS
320,600,60,Apartamento ,2,1,, VALPARAISO DE GOIAS
321,1.100,70,Apartamento ,2,1,, SANTA MARIA
322,800,50,Apartamento ,2,,, NUCLEO BANDEIRANTE
323,800,33,Kitnet ,1,,, ASA NORTE
324,2.400,69,Apartamento ,2,,, ASA NORTE
325,2.000,52,Apartamento ,2,1,1, LAGO NORTE
326,790,29,Kitnet ,1,,, ASA NORTE
327,800,30,Kitnet ,1,,, SAMAMBAIA
328,9.000,275,Apartamento ,3,3,4, NOROESTE
329,2.400,74,Apartamento ,2,1,1, AGUAS CLARAS
330,1.750,67,Apartamento ,2,1,1, AGUAS CLARAS
331,1.600,40,Kitnet ,1,,, ASA NORTE
332,3.500,48,Apartamento ,1,1,1, ASA SUL
333,1.550,76,Apartamento ,3,1,1, AGUAS CLARAS
334,900,25,Kitnet ,1,1,, ASA NORTE
335,1.800,23,Apartamento ,1,1,, AGUAS CLARAS
336,700,30,Apartamento ,1,1,, VICENTE PIRES
337,2.900,66,Apartamento ,2,1,, ASA NORTE
338,4.500,51,Apartamento ,1,1,, ASA NORTE
339,2.600,93,Apartamento ,3,1,1, AGUAS CLARAS
340,990,33,Apartamento ,1,1,1, SUDOESTE
341,1.850,55,Apartamento ,2,1,, LAGO NORTE
342,2.400,97,Apartamento ,4,1,1, AGUAS CLARAS
343,700,40,Apartamento ,1,,, GUARA
344,1.300,28,Kitnet ,1,1,, ASA SUL
345,2.900,75,Apartamento ,2,1,, ASA NORTE
346,2.200,60,Apartamento ,2,1,1, AGUAS CLARAS
347,3.300,47,Apartamento ,2,1,, NOROESTE
348,850,28,Apartamento ,1,1,, AGUAS CLARAS
349,1.300,80,Apartamento ,2,1,, TAGUATINGA
350,2.900,80,Apartamento ,2,1,1, SUDOESTE
351,1.100,55,Apartamento ,2,,, CEILANDIA
352,950,53,Apartamento ,2,,, GUARA
353,8.500,178,Apartamento ,4,2,1, ASA SUL
354,750,44,Apartamento ,2,1,, PLANALTINA
355,2.300,65,Apartamento ,3,2,1, AGUAS CLARAS
356,1.800,37,Apartamento ,1,1,, ASA NORTE
357,1.200,70,Apartamento ,2,,, SOBRADINHO
358,1.950,53,Apartamento ,1,1,1, AGUAS CLARAS
359,2.800,89,Apartamento ,3,1,, ASA SUL
360,1.250,58,Apartamento ,2,,, SAMAMBAIA
361,1.600,26,Kitnet ,1,1,, ASA SUL
362,2.800,84,Apartamento ,3,,, ASA SUL
363,800,30,Kitnet ,1,,, SAMAMBAIA
364,2.900,73,Apartamento ,2,1,, ASA NORTE
365,3.200,75,Apartamento ,2,1,, ASA SUL
366,890,30,Apartamento ,1,1,, ASA NORTE
367,1.500,76,Apartamento ,3,1,1, AGUAS CLARAS
368,870,62,Apartamento ,2,1,, TAGUATINGA
369,2.500,44,Apartamento ,1,1,, NOROESTE
370,1.900,75,Apartamento ,3,1,1, AGUAS CLARAS
371,1.200,35,Kitnet ,1,,, ASA NORTE
372,1.800,90,Apartamento ,3,1,, CRUZEIRO
373,1.500,43,Apartamento ,1,1,, AGUAS CLARAS
374,900,28,Kitnet ,1,,, ASA NORTE
375,1.200,30,Apartamento ,1,1,, SUDOESTE
376,1.000,42,Apartamento ,1,,, ASA NORTE
377,1.800,32,Apartamento ,1,1,, NOROESTE
378,3.200,78,Apartamento ,2,1,1, AGUAS CLARAS
379,2.500,78,Apartamento ,2,,, ASA SUL
380,800,28,Apartamento ,1,,, ASA NORTE
381,2.600,100,Apartamento ,2,1,1, SAMAMBAIA
382,3.600,63,Apartamento ,3,3,1, GUARA
383,650,50,Apartamento ,1,,, AGUAS CLARAS
384,9.800,163,Apartamento ,3,1,1, ASA SUL
385,4.800,82,Apartamento ,2,1,2, NOROESTE
386,1.190,34,Apartamento ,1,1,, AGUAS CLARAS
387,1.950,83,Apartamento ,3,1,, GUARA
388,1.500,60,Apartamento ,2,,, ASA SUL
389,1.500,27,Kitnet ,1,1,, PARK SUL
390,3.800,37,Apartamento ,1,1,, ASA NORTE
391,1.350,80,Apartamento ,2,1,1, CEILANDIA
392,2.300,60,Apartamento ,2,1,1, AGUAS CLARAS
393,600,35,Apartamento ,1,,, SAMAMBAIA
394,4.200,0,Apartamento ,1,1,, ASA NORTE
395,1.850,52,Apartamento ,2,1,, GUARA
396,3.000,250,Apartamento ,4,2,, TAGUATINGA
397,700,60,Apartamento ,2,,, CEILANDIA
398,2.100,38,Apartamento ,1,1,, TAGUATINGA
399,2.520,70,Apartamento ,2,1,, GUARA
400,1.100,60,Apartamento ,2,,, GUARA
401,1.250,30,Apartamento ,1,,, AGUAS CLARAS
402,5.000,119,Apartamento ,3,1,1, ASA NORTE
403,800,80,Apartamento ,3,,, CEILANDIA
404,600,50,Apartamento ,2,,, GUARA
405,1.100,30,Apartamento ,1,1,, ASA NORTE
406,2.000,50,Apartamento ,2,,, ASA SUL
407,1.200,60,Apartamento ,2,,, VICENTE PIRES
408,950,22,Kitnet ,1,,, ASA NORTE
409,2.700,134,Apartamento ,2,2,, SAMAMBAIA
410,2.900,65,Apartamento ,2,,, ASA NORTE
411,1.200,36,Apartamento ,1,1,, LAGO NORTE
412,3.400,26,Kitnet ,1,1,1, SUDOESTE
413,600,40,Kitnet ,1,,, GUARA
414,3.500,93,Apartamento ,3,1,1, AGUAS CLARAS
415,2.100,62,Apartamento ,3,,, CRUZEIRO
416,2.500,75,Apartamento ,2,,, ASA SUL
417,2.990,70,Apartamento ,1,1,1, LAGO NORTE
418,870,60,Kitnet ,1,,, SOBRADINHO
419,4.200,96,Apartamento ,3,1,1, SUDOESTE
420,850,60,Apartamento ,2,,, NUCLEO BANDEIRANTE
421,1.000,60,Apartamento ,2,1,, CEILANDIA
422,800,35,Apartamento ,1,,, SOBRADINHO
423,1.100,30,Kitnet ,1,1,, AGUAS CLARAS
424,2.500,82,Apartamento ,2,1,2, AGUAS CLARAS
425,3.600,70,Apartamento ,2,,, ASA NORTE
426,1.499,64,Apartamento ,3,1,, VICENTE PIRES
427,3.900,95,Apartamento ,3,1,1, SUDOESTE
428,700,30,Kitnet ,1,,, ASA NORTE
429,1.400,60,Apartamento ,2,1,, TAGUATINGA
430,3.200,85,Apartamento ,2,1,1, SUDOESTE
431,1.000,26,Kitnet ,1,1,1, ASA NORTE
432,2.200,84,Apartamento ,2,,, ASA NORTE
433,620,30,Kitnet ,1,1,, GUARA
434,800,30,Apartamento ,1,,, GUARA
435,2.200,60,Apartamento ,2,1,1, AGUAS CLARAS
436,2.800,80,Apartamento ,2,1,, ASA NORTE
437,2.597,26,Apartamento ,1,1,, SUDOESTE
438,800,48,Apartamento ,2,1,, VALPARAISO DE GOIAS
439,3.800,104,Apartamento ,3,1,, ASA SUL
440,2.250,30,Apartamento ,1,1,2, ASA NORTE
441,1.800,82,Apartamento ,3,1,, AGUAS CLARAS
442,1.200,50,Apartamento ,1,,, ASA SUL
443,4.150,125,Apartamento ,3,1,1, ASA NORTE
444,1.300,80,Apartamento ,2,1,, VICENTE PIRES
445,1.100,70,Apartamento ,2,,, SAMAMBAIA
446,1.320,72,Kitnet ,1,1,, GUARA
447,1.300,60,Apartamento ,2,1,, AGUAS CLARAS
448,900,60,Apartamento ,2,,, PLANALTINA
449,1.550,38,Apartamento ,2,,, GUARA
450,3.600,82,Apartamento ,3,1,, ASA NORTE
451,2.300,56,Apartamento ,1,,, CRUZEIRO
452,2.000,65,Apartamento ,3,1,, GUARA
453,1.800,48,Apartamento ,2,1,, JARDINS MANGUEIRAL
454,3.800,90,Apartamento ,3,1,1, SUDOESTE
455,2.400,58,Apartamento ,2,1,1, GUARA
456,5.900,140,Apartamento ,4,2,2, SUDOESTE
457,1.200,25,Apartamento ,1,1,, ASA NORTE
458,1.100,33,Apartamento ,1,1,1, AGUAS CLARAS
459,800,30,Kitnet ,1,,, ASA NORTE
460,900,27,Apartamento ,1,,, LAGO NORTE
461,2.000,34,Apartamento ,1,1,, NOROESTE
462,1.000,38,Kitnet ,1,1,, ASA NORTE
463,1.150,50,Apartamento ,2,1,, TAGUATINGA
464,2.400,80,Apartamento ,2,1,1, AGUAS CLARAS
465,5.500,160,Apartamento ,4,4,3, AGUAS CLARAS
466,1.650,38,Apartamento ,1,1,1, AGUAS CLARAS
467,1.250,55,Apartamento ,2,2,, NUCLEO BANDEIRANTE
468,950,58,Apartamento ,2,,, GUARA
469,1.500,31,Apartamento ,1,1,1, AGUAS CLARAS
470,900,45,Apartamento ,2,1,, VALPARAISO DE GOIAS
471,2.900,69,Apartamento ,2,1,, OCTOGONAL
472,550,20,Apartamento ,1,,, GUARA
473,850,60,Apartamento ,2,1,, RIACHO FUNDO
474,2.700,63,Apartamento ,2,1,1, AGUAS CLARAS
475,1.600,30,Apartamento ,1,1,, LAGO NORTE
476,1.300,55,Apartamento ,2,1,, TAGUATINGA
477,1.300,48,Apartamento ,2,,, JARDINS MANGUEIRAL
478,8.000,96,Apartamento ,2,1,1, ASA NORTE
479,1.300,40,Apartamento ,1,,, TAGUATINGA
480,790,48,Apartamento ,1,,, RECANTO DAS EMAS
481,17.000,160,Apartamento ,3,3,3, NOROESTE
482,3.500,53,Apartamento ,2,1,, NOROESTE
483,2.500,70,Apartamento ,2,1,1, AGUAS CLARAS
484,680,29,Apartamento ,1,,, RIACHO FUNDO
485,10.500,205,Apartamento ,4,4,2, ASA NORTE
